cuisine,Restaraunts,Count
Tapas,"[u'805', u'73170', u'73504', u'74558', u'81551', u'82161', u'72052', u'66485', u'81347', u'81459', u'67202', u'64013', u'73618', u'74474', u'64861']",15
Gluten-free,"[u'78625', u'78135', u'78254']",3
Vegan,"[u'74494', u'82138', u'61838', u'81823', u'30691', u'82284', u'78903', u'81963', u'76615', u'75690', u'66381', u'71268', u'81441', u'71970', u'75211', u'60569', u'79912', u'78598', u'68693', u'76454', u'73379', u'70312', u'76653', u'79609', u'64000', u'73688', u'68626', u'80553', u'79004', u'74614', u'72565', u'62034', u'79441', u'63847', u'74413', u'78625', u'75812', u'73637', u'79138', u'70113', u'61985', u'79931', u'61990', u'81580', u'81433', u'53898', u'72454', u'69138', u'63392', u'79766', u'74554', u'75975', u'78998', u'59208', u'71303', u'81115', u'79005', u'60190', u'82397', u'59187', u'81195', u'58678', u'62507', u'81545', u'81998', u'81284', u'79462', u'79550', u'67409', u'65266', u'78859', u'78898', u'74069', u'79826', u'74091', u'79003', u'81533', u'74829', u'73852', u'78574', u'79167', u'61989', u'82210', u'79075', u'78810', u'82268', u'81751', u'79451', u'66210']",89
German,"[u'79211', u'78402', u'78527']",3
Glatt Kosher,"[u'952', u'63926', u'62363', u'63618', u'75276', u'57876', u'68766', u'68591', u'62416', u'69326', u'79828', u'29982', u'81573']",13
Fusion,"[u'76444', u'38293', u'57574', u'66893', u'81581', u'64455', u'74557', u'63384', u'81760', u'79233', u'64858', u'82215', u'64337', u'66447', u'74969', u'79680', u'74156', u'73540', u'74739', u'68473', u'64250', u'68865', u'66769', u'75200', u'62700', u'57094', u'56503', u'74094', u'69165', u'65230', u'66660', u'81936', u'82119', u'81577', u'66579', u'66677', u'66580', u'65252', u'74098', u'73645', u'72496', u'75201', u'62829', u'64978', u'69271', u'73224', u'69409', u'82361', u'79242', u'66951', u'74489', u'11276', u'73182', u'69654', u'72378', u'72676', u'76024', u'67364', u'74157', u'74100', u'70882', u'74107', u'59051', u'62314', u'64051', u'75384', u'67155', u'36363', u'82120', u'79637', u'68064', u'63422', u'79644', u'69845', u'66961', u'74546', u'81832']",77
BBQ,"[u'79501', u'58799', u'81295', u'10076', u'61606', u'79559', u'79552', u'61571', u'71207', u'74469', u'79802', u'80521', u'66669', u'39963', u'72241', u'74616', u'78439', u'81588', u'74806', u'64901', u'35842', u'30707', u'60568', u'77699', u'74808', u'61200', u'59003', u'72544', u'67947', u'998', u'75116', u'74525', u'63578', u'68638', u'61628', u'74420', u'63852', u'75114', u'79527', u'67733', u'58543', u'79502', u'63705', u'76442', u'72676', u'79939', u'68526', u'62526', u'75120', u'68002', u'69160', u'60193', u'58614', u'79398', u'60255', u'81834', u'67016', u'9236', u'58270', u'78932', u'72903', u'59814', u'63878', u'70088', u'67865', u'72954', u'75061', u'8729', u'70787', u'239', u'61827', u'69004', u'61659', u'80269', u'75446', u'72953', u'79601']",77
Armenian,"[u'80422', u'72528', u'68307', u'75355']",4
Russian,"[u'79509', u'71707', u'71534', u'80541', u'62717', u'80404', u'79262', u'81611', u'69289']",9
Thai,"[u'71166', u'73539', u'80064', u'82231', u'73346', u'69666', u'78964', u'62958', u'39102', u'38293', u'71886', u'57574', u'61523', u'81581', u'64455', u'76038', u'59855', u'79315', u'75195', u'63384', u'81760', u'79171', u'80572', u'30726', u'8308', u'71596', u'75491', u'61728', u'64337', u'74412', u'74156', u'80161', u'66381', u'60704', u'70183', u'58807', u'71960', u'72622', u'38316', u'67391', u'68247', u'73984', u'79144', u'78972', u'71187', u'72507', u'71832', u'70912', u'76011', u'75946', u'60414', u'82218', u'30780', u'69461', u'69506', u'74099', u'61258', u'79849', u'60273', u'66769', u'75200', u'76497', u'62700', u'73030', u'61554', u'74096', u'66850', u'81673', u'75623', u'65230', u'70089', u'73971', u'78809', u'3185', u'81606', u'71339', u'67109', u'78524', u'69623', u'62525', u'80508', u'69933', u'81343', u'63749', u'76802', u'72544', u'81498', u'66579', u'70174', u'62742', u'80333', u'67102', u'62034', u'72062', u'71390', u'66580', u'67799', u'71968', u'70753', u'67725', u'80063', u'73210', u'78954', u'66126', u'74525', u'72511', u'74098', u'67156', u'63724', u'69275', u'948', u'75434', u'73645', u'80094', u'80365', u'67709', u'79097', u'79197', u'29856', u'4431', u'68201', u'69520', u'68981', u'65969', u'65153', u'71818', u'82221', u'82095', u'72131', u'62734', u'81487', u'79173', u'75560', u'80550', u'72012', u'68180', u'70251', u'63899', u'61166', u'70396', u'76460', u'76834', u'8348', u'73481', u'70850', u'71088', u'76758', u'63872', u'57900', u'79564', u'68108', u'79574', u'61679', u'70948', u'79964', u'73669', u'67364', u'74157', u'62551', u'58077', u'79471', u'71258', u'77964', u'67002', u'75702', u'72164', u'76404', u'78914', u'64155', u'71710', u'76428', u'65069', u'82323', u'14498', u'78649', u'68764', u'71463', u'75275', u'71615', u'74757', u'80506', u'69238', u'68611', u'73507', u'65246', u'75876', u'77755', u'77634', u'73519', u'71554', u'72534', u'46057', u'75954', u'79411', u'76341', u'60266', u'73593', u'26177', u'68730', u'36363', u'72372', u'78447', u'78733', u'68064', u'71283', u'80447', u'69910', u'78936', u'61587', u'60283', u'66648', u'75045', u'79644', u'60938', u'19286', u'80001', u'79726', u'79726', u'71108', u'2959', u'72914', u'75320', u'61659', u'30759', u'67943', u'67730', u'61738', u'79534', u'68854']",229
Afghan,"[u'60245', u'71986', u'69463', u'60197', u'67499', u'80148', u'80234', u'80300', u'81391']",9
Wings,"[u'73278', u'67923', u'72488', u'40909', u'71578', u'76444', u'76516', u'71173', u'76710', u'58799', u'80150', u'72603', u'69554', u'18501', u'3305', u'81295', u'73163', u'6109', u'74111', u'79414', u'66082', u'76815', u'79293', u'76771', u'1511', u'66488', u'75451', u'60973', u'64187', u'61571', u'73504', u'79233', u'73308', u'71168', u'81282', u'79541', u'72463', u'80110', u'82215', u'74083', u'79061', u'3383', u'73429', u'81738', u'2913', u'81729', u'68465', u'67857', u'80168', u'74561', u'80071', u'73561', u'78764', u'2761', u'75108', u'76452', u'63548', u'65250', u'75867', u'75656', u'72739', u'73041', u'76468', u'74920', u'67179', u'49425', u'79368', u'82369', u'73157', u'74806', u'75622', u'66818', u'78872', u'76513', u'75721', u'74411', u'81446', u'81781', u'81324', u'71531', u'81986', u'73319', u'74808', u'75961', u'71298', u'78858', u'27877', u'79867', u'71109', u'79861', u'73552', u'66357', u'75238', u'72542', u'71893', u'60166', u'69568', u'18402', u'78871', u'79128', u'73526', u'60950', u'81766', u'78886', u'3357', u'76825', u'73667', u'68638', u'76582', u'62876', u'56620', u'80283', u'65890', u'76738', u'80573', u'74638', u'80378', u'70848', u'80101', u'81300', u'79132', u'75784', u'62552', u'73836', u'65964', u'68565', u'68987', u'14502', u'76025', u'31265', u'76565', u'76530', u'64266', u'73396', u'79605', u'74738', u'80371', u'79528', u'76405', u'58543', u'78777', u'79369', u'72125', u'82005', u'69126', u'62028', u'74648', u'69608', u'38038', u'78921', u'80080', u'70238', u'57087', u'3893', u'24479', u'73088', u'64727', u'75183', u'57311', u'58576', u'71961', u'78834', u'75185', u'72326', u'81658', u'73475', u'71005', u'79244', u'79530', u'76515', u'3204', u'28648', u'60974', u'73284', u'16148', u'76013', u'76556', u'4313', u'73332', u'79010', u'13318', u'57350', u'63106', u'39133', u'68911', u'73309', u'73361', u'75105', u'57310', u'70286', u'3190', u'76390', u'79545', u'27991', u'81339', u'78939', u'49428', u'60949', u'79781', u'62111', u'60525', u'58095', u'79635', u'11184', u'79553', u'75813', u'75639', u'67063', u'71612', u'80273', u'57309', u'60447', u'69011', u'71714', u'73279', u'79037', u'62093', u'67865', u'75061', u'66988', u'61043', u'76036', u'57549', u'57548', u'81412', u'79653', u'64736', u'60530', u'62697', u'79928', u'75499', u'76384', u'70229', u'66618', u'74600', u'68212', u'75448', u'74993', u'75950', u'67476', u'78773', u'59622', u'72329', u'75866', u'79153', u'82363', u'79201']",247
Halal,"[u'73305', u'69554', u'82150', u'78851', u'79315', u'71986', u'79552', u'74930', u'68952', u'63709', u'74156', u'80516', u'74650', u'70618', u'75204', u'38275', u'76348', u'71604', u'63867', u'79912', u'67179', u'49425', u'2681', u'73971', u'80601', u'63819', u'80553', u'75133', u'81507', u'40294', u'66357', u'60267', u'57330', u'74909', u'74717', u'61628', u'67499', u'52055', u'79299', u'74611', u'70747', u'74113', u'63183', u'68941', u'62197', u'76849', u'68278', u'82390', u'68880', u'74777', u'82397', u'74392', u'68021', u'71477', u'79906', u'60665', u'71831', u'68511', u'61696', u'79305', u'82389', u'79679', u'76467', u'62057', u'74817', u'72539', u'65500', u'61608', u'75033', u'80032', u'82375', u'79881', u'81331', u'81279', u'81412', u'75125', u'74647', u'30759', u'69709', u'66803', u'79276', u'75994', u'79943', u'68213']",84
Seafood,"[u'76516', u'72583', u'70613', u'69586', u'70963', u'72603', u'74905', u'18501', u'805', u'73233', u'30697', u'58424', u'60302', u'61003', u'74615', u'82111', u'76574', u'75999', u'9242', u'76642', u'75491', u'73558', u'68271', u'79131', u'66108', u'81993', u'72622', u'72726', u'69233', u'60673', u'82306', u'78598', u'68597', u'76550', u'70912', u'69336', u'81549', u'69497', u'69506', u'79811', u'90', u'64180', u'62950', u'73322', u'63823', u'73012', u'73157', u'81673', u'75622', u'75623', u'69422', u'70820', u'67855', u'78992', u'82338', u'81680', u'72238', u'30707', u'76538', u'62525', u'69463', u'39035', u'81685', u'81584', u'81734', u'59579', u'75216', u'58481', u'5631', u'81681', u'67719', u'76396', u'70817', u'948', u'81766', u'78886', u'62021', u'70277', u'64808', u'69520', u'68822', u'72547', u'82227', u'75255', u'71818', u'72156', u'58806', u'72131', u'82151', u'79091', u'67503', u'69467', u'72269', u'73224', u'74746', u'74602', u'14502', u'75560', u'74611', u'72896', u'80398', u'69391', u'71838', u'80163', u'64495', u'76728', u'72125', u'33760', u'63253', u'62019', u'77651', u'78792', u'82378', u'73088', u'67075', u'69484', u'74480', u'68526', u'81547', u'64716', u'62900', u'81742', u'81653', u'22647', u'3159', u'75833', u'76617', u'79687', u'68151', u'72606', u'58413', u'58614', u'57350', u'72265', u'75854', u'61037', u'74919', u'61288', u'72013', u'59494', u'72359', u'73507', u'68447', u'79781', u'69832', u'58509', u'79003', u'67854', u'71033', u'68680', u'71830', u'57735', u'80273', u'3426', u'74627', u'69061', u'67171', u'74474', u'79104', u'82121', u'78924', u'75495', u'76392', u'76426', u'69248', u'66913', u'75486', u'78582', u'57174', u'79478', u'75994', u'75689', u'78151', u'3962']",174
Cuban,"[u'72817', u'79523', u'69551', u'80450', u'78793', u'39035', u'65251', u'75114', u'66675', u'81991', u'71141', u'62996', u'59489', u'61983']",14
Organic,"[u'67412', u'62497', u'71147', u'79765', u'74264', u'81542', u'82429', u'67911', u'67794', u'73277', u'71707', u'75038', u'79441', u'61575', u'60101', u'71968', u'35059', u'64145', u'75941', u'82011', u'68201', u'79568', u'81439', u'75005', u'74554', u'75975', u'74680', u'73568', u'60190', u'81783', u'80589', u'80318', u'76812', u'81545', u'81998', u'81284', u'80634', u'72315', u'81536', u'30729', u'59041', u'74829', u'81534', u'68550', u'68044', u'62093', u'81535', u'80269', u'81785']",49
Diner,"[u'75336', u'80828', u'67790', u'66417', u'72306', u'60252', u'79986', u'68846', u'66470', u'82313', u'73901', u'78920', u'79509', u'9382', u'71424', u'61217', u'70339', u'79616', u'71257', u'80838', u'60497', u'66877', u'66661', u'68399', u'71209', u'79446', u'70713', u'62693', u'70070', u'76840', u'61048', u'64719', u'79537', u'57979', u'32126', u'3256', u'72500', u'64501', u'57331', u'79669', u'70269', u'76507', u'61036', u'1090', u'80601', u'63158', u'507', u'69364', u'80358', u'68580', u'61424', u'76440', u'66795', u'59579', u'64724', u'72567', u'58481', u'64432', u'60067', u'79464', u'73476', u'70721', u'80831', u'66640', u'80837', u'79677', u'71785', u'33775', u'72547', u'71784', u'3248', u'58806', u'75385', u'3217', u'80833', u'29997', u'72145', u'39098', u'73977', u'68347', u'79375', u'75903', u'66700', u'66888', u'79701', u'29753', u'30738', u'75927', u'60473', u'70305', u'71018', u'58195', u'62895', u'80835', u'60253', u'58932', u'25841', u'71840', u'80589', u'61035', u'63498', u'62575', u'72631', u'60204', u'3159', u'79017', u'75280', u'80119', u'58368', u'69397', u'69013', u'63948', u'72090', u'72606', u'76031', u'71605', u'73845', u'71211', u'1052', u'57974', u'69091', u'68041', u'57904', u'74818', u'763', u'72013', u'67088', u'73350', u'80083', u'68912', u'79673', u'81361', u'72130', u'58509', u'60265', u'40900', u'73411', u'73015', u'57956', u'41615', u'74627', u'76015', u'62312', u'59741', u'51830', u'63497', u'70647', u'82291', u'80082', u'79465', u'73200', u'73838', u'61910', u'58194', u'64697', u'68782', u'3962']",157
OU Kosher,"[u'81611', u'29982', u'68737', u'80098']",4
Healthy,"[u'71166', u'73447', u'68929', u'73305', u'72699', u'70620', u'82138', u'80150', u'62445', u'72477', u'61838', u'62497', u'66146', u'71147', u'79668', u'76863', u'66011', u'74858', u'82136', u'79765', u'76439', u'73229', u'1107', u'71843', u'62325', u'66447', u'82271', u'82370', u'62189', u'79616', u'73429', u'78535', u'72541', u'79157', u'62759', u'74561', u'73561', u'68276', u'80563', u'70622', u'76373', u'71970', u'71604', u'3384', u'66633', u'81603', u'75909', u'36132', u'35984', u'79744', u'61048', u'76454', u'74941', u'82429', u'75398', u'70312', u'30785', u'36134', u'80564', u'3117', u'60778', u'80560', u'78757', u'80099', u'81936', u'73950', u'79940', u'75189', u'73493', u'2741', u'79177', u'73277', u'68626', u'81879', u'72495', u'68027', u'74614', u'71659', u'73864', u'71967', u'73017', u'81973', u'73056', u'74741', u'67099', u'78979', u'66936', u'74662', u'60372', u'79582', u'76335', u'73431', u'69381', u'75941', u'75434', u'73907', u'63267', u'82451', u'75264', u'76582', u'73140', u'498', u'70113', u'75110', u'74638', u'79931', u'62018', u'3217', u'81580', u'73804', u'53898', u'63392', u'3115', u'31069', u'73272', u'78808', u'75975', u'74854', u'74680', u'61922', u'82361', u'63899', u'76818', u'79639', u'62570', u'58927', u'79306', u'81617', u'81115', u'75392', u'70738', u'66148', u'75307', u'58094', u'74664', u'72823', u'80127', u'81831', u'81820', u'80589', u'68425', u'78798', u'75183', u'71547', u'81325', u'59955', u'66287', u'62900', u'72456', u'72292', u'68333', u'80548', u'3442', u'79566', u'69139', u'76803', u'67354', u'75362', u'79530', u'69397', u'73840', u'66457', u'78135', u'74668', u'61696', u'70069', u'81284', u'6117', u'74566', u'81757', u'80565', u'79934', u'79550', u'74577', u'69145', u'74543', u'81537', u'68041', u'78859', u'79874', u'72044', u'73507', u'68995', u'80083', u'71494', u'59602', u'81536', u'71450', u'74695', u'74813', u'78779', u'59041', u'72234', u'73908', u'79665', u'74781', u'69176', u'73593', u'82201', u'81534', u'68896', u'68550', u'71438', u'74518', u'68215', u'79572', u'81279', u'58561', u'81754', u'74667', u'72086', u'72923', u'79104', u'75194', u'80160', u'81535', u'80010', u'76334', u'72793', u'72077', u'80082', u'73330', u'73024', u'66210', u'75155']",225
Soups,"[u'73447', u'73539', u'71702', u'39102', u'73160', u'82150', u'59855', u'71586', u'71602', u'69319', u'69472', u'79616', u'72622', u'62234', u'72726', u'70352', u'68190', u'73521', u'74565', u'69150', u'69506', u'79849', u'74503', u'74772', u'72238', u'81879', u'69246', u'71967', u'25864', u'72869', u'68831', u'81451', u'79089', u'69520', u'73613', u'72416', u'73172', u'72156', u'71087', u'69549', u'72907', u'73028', u'79375', u'60866', u'80522', u'81617', u'75956', u'75307', u'67368', u'69045', u'75362', u'69532', u'68307', u'57350', u'74543', u'68995', u'61737', u'73601', u'2834', u'68896', u'65352', u'67171', u'74072', u'81081', u'64402', u'25151', u'68213']",67
Vegetarian,"[u'74494', u'71166', u'75873', u'73305', u'61838', u'67412', u'57574', u'79594', u'81823', u'78945', u'75675', u'76863', u'74084', u'59855', u'82284', u'71586', u'4735', u'76439', u'78903', u'78455', u'1071', u'76574', u'71207', u'78889', u'79233', u'8308', u'81963', u'76642', u'75491', u'62325', u'79271', u'64183', u'66513', u'74412', u'76615', u'76586', u'75690', u'80516', u'66381', u'75925', u'78985', u'71728', u'79014', u'73540', u'72541', u'79157', u'70183', u'61174', u'80168', u'79377', u'81441', u'73984', u'76373', u'76687', u'71604', u'3384', u'66633', u'69233', u'72410', u'60569', u'79912', u'71187', u'57869', u'68693', u'74565', u'73554', u'59807', u'81358', u'73379', u'76330', u'69941', u'70312', u'76653', u'67911', u'65227', u'67794', u'66377', u'69396', u'74094', u'73157', u'80557', u'64000', u'78566', u'75623', u'70089', u'73633', u'67855', u'78517', u'76513', u'78992', u'64254', u'37139', u'73950', u'73688', u'79177', u'73277', u'68626', u'74721', u'79235', u'78892', u'62525', u'79270', u'75133', u'78614', u'79004', u'74614', u'79300', u'71659', u'57722', u'71707', u'76593', u'80945', u'62034', u'76571', u'79312', u'75504', u'79185', u'67719', u'79582', u'74413', u'64145', u'948', u'75498', u'78625', u'75812', u'73637', u'80458', u'75264', u'72496', u'75201', u'64808', u'73140', u'498', u'70113', u'61689', u'61985', u'79571', u'75255', u'71995', u'78515', u'61990', u'75090', u'76609', u'62018', u'79091', u'3180', u'81112', u'62291', u'81433', u'53898', u'79239', u'31269', u'69138', u'63392', u'68565', u'75560', u'80550', u'79766', u'31069', u'69468', u'73272', u'80398', u'71984', u'72773', u'78998', u'61922', u'59208', u'60866', u'80947', u'80163', u'75044', u'75493', u'62570', u'76728', u'64817', u'71303', u'61633', u'81115', u'79005', u'71088', u'63253', u'76787', u'75956', u'60190', u'74622', u'74664', u'68526', u'30469', u'59187', u'72851', u'75833', u'81110', u'73043', u'81195', u'79672', u'76803', u'79000', u'79232', u'58678', u'78994', u'75702', u'75677', u'68345', u'932', u'76399', u'74107', u'62507', u'78568', u'64294', u'80261', u'79679', u'69875', u'79991', u'79462', u'65069', u'74566', u'78536', u'81757', u'79934', u'75626', u'72265', u'79550', u'79227', u'79431', u'67409', u'65266', u'61179', u'73996', u'72044', u'79063', u'78898', u'72359', u'64480', u'75876', u'75514', u'74069', u'80143', u'75813', u'65500', u'78779', u'79003', u'76514', u'3189', u'79665', u'46057', u'78537', u'75966', u'61244', u'80098', u'79006', u'78844', u'73524', u'71438', u'67171', u'62093', u'78447', u'80356', u'79167', u'61989', u'82210', u'74831', u'68215', u'80447', u'74072', u'74563', u'79075', u'64549', u'81279', u'78759', u'75795', u'75489', u'80010', u'75499', u'75495', u'76392', u'2959', u'75320', u'79451', u'72795', u'75486', u'30759', u'73495', u'66814', u'73024', u'75994', u'66210', u'75069', u'68854', u'63198', u'66655', u'68782', u'75689', u'75155']",293
Nepalese,"[u'79066', u'81090', u'70990', u'62325', u'61615', u'80078', u'80435', u'75812', u'79592', u'80436', u'69366', u'68477', u'57701', u'69360', u'68688', u'73840', u'81095', u'73852']",18
Argentinian,"[u'81633', u'13431', u'13086', u'80616', u'62801', u'80953', u'74091', u'62719']",8
Frozen Yogurt,"[u'63722', u'62870', u'80619', u'81888', u'72716', u'68027', u'80618', u'62871', u'75064', u'81278', u'76435', u'63721', u'74732', u'81294']",14
Middle Eastern,"[u'61954', u'69106', u'69554', u'73160', u'75703', u'78078', u'78945', u'60245', u'77635', u'72184', u'71986', u'71586', u'74858', u'81963', u'71402', u'74930', u'3491', u'79271', u'77754', u'80516', u'79085', u'79481', u'75668', u'67489', u'66633', u'63867', u'71285', u'76572', u'80338', u'79655', u'62500', u'76454', u'80072', u'69575', u'65227', u'66377', u'71738', u'79911', u'76472', u'75492', u'80036', u'76643', u'72694', u'61923', u'80099', u'64254', u'80433', u'75189', u'63618', u'75276', u'59015', u'75133', u'40294', u'79903', u'78477', u'57876', u'80507', u'60279', u'66357', u'72111', u'62198', u'68198', u'5631', u'74006', u'60197', u'68766', u'73814', u'68629', u'57330', u'74909', u'64808', u'61985', u'64978', u'61990', u'77684', u'67499', u'75673', u'75090', u'74078', u'3180', u'67189', u'81112', u'52055', u'80541', u'70747', u'71679', u'80163', u'79273', u'80234', u'62197', u'69912', u'76511', u'79062', u'79852', u'82390', u'73057', u'68425', u'80503', u'71737', u'66552', u'68021', u'62119', u'80429', u'71871', u'67881', u'79439', u'60665', u'79000', u'65396', u'66012', u'932', u'74107', u'61696', u'76546', u'82389', u'62098', u'81391', u'76684', u'78536', u'76467', u'71119', u'75985', u'65266', u'78859', u'79828', u'75742', u'61338', u'75258', u'81375', u'59602', u'65500', u'61608', u'69289', u'29982', u'82375', u'82201', u'79881', u'81331', u'71053', u'61989', u'79572', u'58918', u'73033', u'72865', u'68630', u'66803', u'71633', u'71638', u'74117']",149
Kosher,"[u'952', u'64621', u'63722', u'2712', u'60628', u'32124', u'74650', u'62363', u'76338', u'62234', u'68247', u'69389', u'68693', u'62870', u'66377', u'80619', u'73633', u'63616', u'64254', u'63618', u'75276', u'72716', u'75323', u'68027', u'80618', u'57722', u'62871', u'57876', u'75064', u'64145', u'68766', u'81374', u'61689', u'81278', u'69844', u'1036', u'68591', u'71645', u'71679', u'67137', u'60190', u'70716', u'62416', u'69326', u'62507', u'81545', u'63721', u'81375', u'29982', u'68962', u'68737', u'74732', u'78574', u'51830', u'81751', u'62015', u'81294']",57
Burgers,"[u'82202', u'67923', u'67383', u'40909', u'60900', u'71578', u'76444', u'76516', u'79749', u'78689', u'69178', u'70613', u'67790', u'66417', u'76689', u'68407', u'68561', u'67412', u'13431', u'81295', u'57871', u'66184', u'59803', u'79986', u'81281', u'64314', u'2992', u'68846', u'10076', u'75675', u'30697', u'61606', u'62817', u'78920', u'58904', u'79552', u'73580', u'79040', u'73810', u'75830', u'73092', u'61571', u'9382', u'65265', u'60903', u'69250', u'79541', u'80414', u'73082', u'64195', u'14553', u'80052', u'3353', u'57539', u'73764', u'74083', u'72264', u'79680', u'82271', u'76586', u'64082', u'68556', u'78888', u'60871', u'59484', u'56901', u'73228', u'66354', u'30701', u'73004', u'3383', u'81729', u'80168', u'69164', u'80132', u'68399', u'80071', u'73968', u'73561', u'68276', u'78764', u'77758', u'39963', u'74082', u'72657', u'72241', u'61381', u'72084', u'70713', u'73521', u'73091', u'71700', u'59863', u'60906', u'62299', u'76550', u'70070', u'65250', u'79039', u'76806', u'69497', u'80440', u'73041', u'76468', u'74920', u'71403', u'64464', u'30785', u'79759', u'80192', u'64501', u'70360', u'67911', u'64434', u'67794', u'66042', u'69396', u'76686', u'79669', u'63278', u'73012', u'68377', u'79949', u'71628', u'75622', u'80878', u'69146', u'35842', u'61392', u'66818', u'70820', u'71454', u'76755', u'76513', u'64822', u'64520', u'79944', u'30707', u'78594', u'62236', u'73318', u'76567', u'63158', u'60901', u'71356', u'507', u'78899', u'69364', u'72735', u'9970', u'66637', u'76538', u'75536', u'80358', u'68580', u'81986', u'60836', u'62068', u'69246', u'3201', u'76437', u'60825', u'75961', u'81544', u'71659', u'62004', u'81442', u'57560', u'72565', u'73056', u'75119', u'66795', u'74873', u'81440', u'75501', u'73161', u'71109', u'80218', u'76571', u'59579', u'68657', u'61952', u'35059', u'82122', u'75116', u'75504', u'75924', u'64432', u'79464', u'67199', u'74592', u'79449', u'61320', u'71698', u'74024', u'82236', u'61287', u'75917', u'81766', u'80242', u'62021', u'3357', u'79927', u'71073', u'68638', u'75264', u'79190', u'69720', u'80439', u'75963', u'79089', u'62876', u'76821', u'3355', u'75524', u'71699', u'75369', u'58963', u'58948', u'79571', u'64186', u'60905', u'80378', u'73129', u'76809', u'61442', u'82151', u'77569', u'81300', u'79568', u'29997', u'74078', u'73804', u'60899', u'73034', u'66282', u'76365', u'75784', u'62552', u'39098', u'79239', u'78913', u'74885', u'81125', u'76502', u'72432', u'75005', u'68987', u'79299', u'60904', u'79517', u'73028', u'80198', u'78998', u'76565', u'79745', u'76530', u'59208', u'75903', u'66700', u'64853', u'30738', u'74738', u'75927', u'75044', u'82422', u'74666', u'80041', u'73107', u'64495', u'71715', u'58400', u'80437', u'62146', u'75603', u'76728', u'69029', u'73807', u'76405', u'78777', u'79005', u'62895', u'74388', u'79369', u'76597', u'82145', u'82005', u'73808', u'62019', u'71627', u'67851', u'63705', u'67166', u'74270', u'61334', u'75836', u'78921', u'72312', u'66885', u'73100', u'78581', u'67379', u'60313', u'71215', u'80127', u'81820', u'75722', u'69484', u'63498', u'72528', u'75864', u'65231', u'71116', u'78909', u'78814', u'81414', u'63319', u'79198', u'80256', u'80444', u'71530', u'75286', u'82333', u'70991', u'60847', u'78866', u'79877', u'32088', u'71130', u'75280', u'75120', u'70861', u'76617', u'80119', u'79906', u'32227', u'71005', u'65001', u'67354', u'72774', u'74012', u'80216', u'69588', u'76515', u'76543', u'78994', u'57617', u'3204', u'80318', u'78585', u'69013', u'78869', u'63948', u'72090', u'76683', u'79474', u'75574', u'76031', u'71605', u'70800', u'60910', u'79010', u'65259', u'80223', u'78484', u'75626', u'81485', u'57974', u'69091', u'75105', u'67409', u'70286', u'75854', u'76019', u'66416', u'64382', u'80244', u'71306', u'763', u'26579', u'72516', u'81834', u'79545', u'68502', u'79673', u'1270', u'68447', u'79781', u'81361', u'75514', u'61198', u'72315', u'71066', u'60525', u'30729', u'70720', u'74817', u'72130', u'58509', u'81622', u'60898', u'79599', u'67497', u'79961', u'80405', u'67854', u'75384', u'71033', u'73026', u'78537', u'74781', u'67063', u'73411', u'71823', u'69959', u'81533', u'79316', u'57956', u'80032', u'41615', u'78606', u'71244', u'79748', u'68896', u'78900', u'69961', u'72453', u'76517', u'78191', u'63878', u'76015', u'49332', u'62093', u'74257', u'60902', u'78891', u'61365', u'72433', u'62511', u'71113', u'73477', u'73033', u'58157', u'75795', u'81081', u'67842', u'75706', u'69172', u'71819', u'73119', u'74796', u'79250', u'73632', u'79928', u'75499', u'80075', u'82020', u'81369', u'76384', u'40274', u'76623', u'1218', u'69248', u'82244', u'68212', u'73084', u'60454', u'71590', u'70355', u'70838', u'68004', u'70794', u'68013', u'79276', u'69265', u'75866', u'79153', u'60212', u'3494', u'71613', u'78527', u'76536', u'78269', u'70652', u'64697', u'81153', u'68782', u'32081', u'69457']",489
